"","Species","ED","FuD","log_ED","log_FuD","Family","Order","Order.Accipitriformes","Order.Anseriformes","Order.Bucerotiformes","Order.Caprimulgiformes","Order.Cariamiformes","Order.Cathartiformes","Order.Charadriiformes","Order.Ciconiiformes","Order.Coliiformes","Order.Columbiformes","Order.Coraciiformes","Order.Cuculiformes","Order.Eurypygiformes","Order.Falconiformes","Order.Galliformes","Order.Gaviiformes","Order.Gruiformes","Order.Leptosomiformes","Order.Mesitornithiformes","Order.Musophagiformes","Order.Opisthocomiformes","Order.Otidiformes","Order.Pelecaniformes","Order.Phaethontiformes","Order.Phoenicopteriformes","Order.Piciformes","Order.Podicipediformes","Order.Procellariiformes","Order.Psittaciformes","Order.Pterocliformes","Order.Sphenisciformes","Order.Strigiformes","Order.Struthioniformes","Order.Suliformes","Order.Trogoniformes","sc.log_ED","sc.log_FuD","assessment","GE","FuDGE","EDGE"
"1","Abeillia_abeillei",5.563650705761,3.18957201829447,1.71625449454945,1.15988674425197,"Trochilidae","Caprimulgiformes",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.112148154986592,0.832890428967268,"Least Concern",0,1.4325985851119,1.88154695818626
"2","Abroscopus_albogularis",8.10405547930788,2.26672342207677,2.09236461283952,0.818335362351993,"Scotocercidae","Passeriformes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348981286408339,0.00129818519376447,"Least Concern",0,1.18378747096262,2.20871997131399
"3","Abroscopus_schisticeps",8.10405547930788,3.00897182388822,2.09236461283952,1.10159843365864,"Scotocercidae","Passeriformes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348981286408339,0.690972961901461,"Least Concern",0,1.38853480542121,2.20871997131399
"4","Abroscopus_superciliaris",11.5517993746158,2.01943364676929,2.44684121484382,0.7028170992148,"Scotocercidae","Passeriformes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.783586976393395,-0.279959911625206,"Least Concern",0,1.10506927961769,2.52986403176378
"5","Aburria_aburri",4.70538430999766,1.56445062325161,1.54870745089134,0.447534722907501,"Cracidae","Galliformes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.317569043423972,-0.90150868981574,"Near Threatened",1,1.63489145427426,2.43455752532078
"6","Acanthagenys_rufogularis",6.97465248665378,2.41678520387092,1.94228250376427,0.882438228873189,"Meliphagidae","Passeriformes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164973263875249,0.157372642589128,"Least Concern",0,1.22870011013037,2.07626807238026
"7","Acanthisitta_chloris",50.6844233727959,2.6070936024395,3.92561863208613,0.95823603857974,"Acanthisittidae","Passeriformes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59664057745198,0.341921363476597,"Least Concern",0,1.28290235180358,3.94515644739046
"8","Acanthiza_apicalis",6.76637441639021,1.24094114513073,1.9119654067509,0.215870079739857,"Acanthizidae","Passeriformes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127803016836832,-1.46555419109024,"Least Concern",0,0.806895931703158,2.0498034424046
"9","Acanthiza_chrysorrhoa",9.06009444283042,2.35034991913025,2.20387954415402,0.854564218828853,"Acanthizidae","Passeriformes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.485704058499763,0.0895063952714012,"Least Concern",0,1.20906479385381,2.30857655258284
"10","Acanthiza_ewingii",6.76637441639021,2.79626803454824,1.9119654067509,1.02828568334928,"Acanthizidae","Passeriformes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127803016836832,0.512474739502744,"Least Concern",0,1.3340184879884,2.0498034424046
"11","Acanthiza_inornata",7.08454470704021,1.716410515423,1.957915609545,0.540235200557275,"Acanthizidae","Passeriformes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184140217874542,-0.67580619732743,"Least Concern",0,0.999311345337845,2.08995417815216
"12","Acanthiza_iredalei",4.60405551879511,1.31324300213206,1.52693754960428,0.272499652173778,"Acanthizidae","Passeriformes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.34426000953082,-1.32767533683911,"Least Concern",0,0.838650437018491,1.72349053541982
"13","Acanthiza_katherina",5.90124474854021,1.38963810268761,1.77516330298857,0.329043355464935,"Acanthizidae","Passeriformes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0399230682160666,-1.19000555248752,"Vulnerable",2,2.2574362941283,3.31799615479244
"14","Acanthiza_lineata",12.4419132366608,1.61336544374176,2.52107087264469,0.478322335008086,"Acanthizidae","Passeriformes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.874596175487192,-0.826548549749168,"Least Concern",0,0.960638832764803,2.59837767888186
"15","Acanthiza_murina",5.92317301091521,2.56159171192134,1.77887228688261,0.940628827746544,"Acanthizidae","Passeriformes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0353756721529723,0.29905220603996,"Least Concern",0,1.27020755503027,1.93487419212683
"16","Acanthiza_nana",5.92317301091521,1.61336544374176,1.77887228688261,0.478322335008086,"Acanthizidae","Passeriformes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0353756721529723,-0.826548549749168,"Least Concern",0,0.960638832764803,1.93487419212683
"17","Acanthiza_pusilla",5.90124474854021,1.24094114513073,1.77516330298857,0.215870079739857,"Acanthizidae","Passeriformes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0399230682160666,-1.46555419109024,"Least Concern",0,0.806895931703158,1.93170179367255
"18","Acanthiza_reguloides",7.08454470704021,1.61505429030372,1.957915609545,0.47936857239674,"Acanthizidae","Passeriformes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184140217874542,-0.82400122321601,"Least Concern",0,0.961284858411788,2.08995417815216
"19","Acanthiza_robustirostris",4.60405551879511,2.1187697789925,1.52693754960428,0.750835627320749,"Acanthizidae","Passeriformes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.34426000953082,-0.163046797972451,"Least Concern",0,1.1374386224591,1.72349053541982
"20","Acanthiza_uropygialis",7.56138901559021,1.80058529396827,2.02305490553567,0.588111775363693,"Acanthizidae","Passeriformes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264004187792715,-0.559238704477647,"Least Concern",0,1.02982842889679,2.14726244516602
"21","Acanthorhynchus_superciliosus",17.2353852508421,3.69949564817545,2.84696455253839,1.30819649905502,"Meliphagidae","Passeriformes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27415780187135,1.19398761172229,"Least Concern",0,1.54745519405916,2.90336395103731
"22","Acanthorhynchus_tenuirostris",17.2353852508421,3.69949564817545,2.84696455253839,1.30819649905502,"Meliphagidae","Passeriformes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27415780187135,1.19398761172229,"Least Concern",0,1.54745519405916,2.90336395103731
"23","Acanthornis_magna",18.5793793173217,2.54860331359123,2.92205232687085,0.935545488956551,"Acanthizidae","Passeriformes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3662190938965,0.286675546672588,"Least Concern",0,1.26655409328113,2.97447693676956
"24","Accipiter_albogularis",9.97628689980916,1.67155050502395,2.30021096696673,0.513751641811283,"Accipitridae","Accipitriformes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.603811104894457,-0.740287043278559,"Least Concern",0,0.982659017355445,2.39573720947293
"25","Accipiter_badius",4.5823957114301,2.14466120193415,1.52222194246514,0.762981592088663,"Accipitridae","Accipitriformes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.350041575035619,-0.133474409660167,"Near Threatened",1,1.83885333897441,2.41276520377953
"26","Accipiter_bicolor",7.71997149099917,2.84160089499701,2.04381067115411,1.04436758877801,"Accipitridae","Accipitriformes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289451773858382,0.55163015953132,"Least Concern",0,1.34588917945989,2.16561596853471
"27","Accipiter_brachyurus",16.8810226855466,2.25447780787326,2.82619007296922,0.812918375350077,"Accipitridae","Accipitriformes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24868727158476,-0.0118908241738921,"Vulnerable",2,2.56632619622182,4.27003432640778
"28","Accipiter_brevipes",5.39399853364021,3.33240905334845,1.68528695286734,1.20369548188016,"Accipitridae","Accipitriformes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.150115879072741,0.939553755048551,"Least Concern",0,1.46612375066161,1.85535982130391
"29","Accipiter_butleri",11.8036203988092,2.62283321409687,2.4684062978724,0.964255112929734,"Accipitridae","Accipitriformes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.810026825275453,0.356576305044412,"Vulnerable",2,2.67355073667007,3.9360223357097
"30","Accipiter_castanilius",5.86917191574958,2.01814033788497,1.76971355331785,0.702176462568401,"Accipitridae","Accipitriformes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0466047284511794,-0.281519701731335,"Least Concern",0,1.10464085955778,1.92704356268818
"31","Accipiter_cirrocephalus",7.03137367750458,2.35168676689595,1.95038208893954,0.855132843827333,"Accipitridae","Accipitriformes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174903752330018,0.0908908550142425,"Least Concern",0,1.20946373162334,2.08335558151057
"32","Accipiter_collaris",3.89076807278042,2.2976978107232,1.35860658615559,0.831907669788774,"Accipitridae","Accipitriformes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.550642022058068,0.0343433613887838,"Least Concern",0,1.19322459189903,1.58734936125081
"33","Accipiter_cooperii",7.71997149099917,2.34241380188483,2.04381067115411,0.851181936965596,"Accipitridae","Accipitriformes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289451773858382,0.0812713843395351,"Least Concern",0,1.2066932411453,2.16561596853471
"34","Accipiter_erythrauchen",4.96145831517417,2.25447780787326,1.60169971267893,0.812918375350077,"Accipitridae","Accipitriformes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25259793286874,-0.0118908241738921,"Near Threatened",1,1.87317901566187,2.47846231546107
"35","Accipiter_erythropus",7.58675911236083,1.64489647445791,2.0264045058006,0.497677448776705,"Accipitridae","Accipitriformes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268110961910053,-0.779423685555085,"Least Concern",0,0.972631924452742,2.15022137870118
"36","Accipiter_fasciatus",11.8036203988092,2.74112944153531,2.4684062978724,1.00837004040676,"Accipitridae","Accipitriformes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.810026825275453,0.46398512687511,"Least Concern",0,1.31938755555205,2.54972797458981
"37","Accipiter_francesiae",7.29888444563665,1.16198293966449,1.98772152081063,0.150127976449727,"Accipitridae","Accipitriformes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220683726128652,-1.62561978028888,"Least Concern",0,0.771025828188884,2.11612110162934
"38","Accipiter_gentilis",5.86917191574958,2.03866651943838,1.76971355331785,0.712295927180771,"Accipitridae","Accipitriformes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0466047284511794,-0.2568813347718,"Least Concern",0,1.11141877426372,1.92704356268818
"39","Accipiter_griseiceps",13.3915030421183,2.46209045441986,2.59462040449513,0.901010767306634,"Accipitridae","Accipitriformes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.964771506826974,0.202592131447647,"Least Concern",0,1.24187258420584,2.66663796590463
